milliseconds,T_1,T_2,E_1_Innate,E_2_Adaptive
0,79163948.41065438,19791498.410535086,10516473.185548477,-1880100.400879706
100,75976776.28313763,17858361.02619438,10531302.276636994,10624313.189163122
200,69270309.06498912,15717605.194889715,10550354.32552347,19884226.536228754
300,62851128.893994495,14032106.15651013,10597976.795119178,24302030.041558154
400,58033222.02330081,12533805.534203101,10620027.064396838,34287075.039217055
500,55661991.73717308,11704402.095592374,10670807.072707884,36908480.267071545
600,53379564.2785569,10417543.851429414,10703372.664343802,46178758.35920945
700,46006452.44170449,9253167.993088324,10742787.533763481,53329660.62097273
800,42678904.24850838,8576361.158688162,10783998.597211443,52874588.63774524
900,40910761.6131076,7923080.714217912,10814779.89360505,58885873.47145061
1000,37478520.38349636,7161922.368139488,10840308.195798393,64958381.20374991
1100,34733186.536973864,6059657.547394793,10860843.334967036,71779614.22649911
1200,34430790.64664005,5766303.910692407,10913712.402631808,73728486.29990257
1300,30659303.32329499,4983302.301471806,10946052.994022628,78003926.15479052
1400,29409163.08861603,4508410.495732347,10947482.33502621,82925919.9735662
1500,25429028.888613243,4283161.708533013,10990553.00112599,81043533.31333005
1600,23748476.680095524,3413364.5072383243,11017556.664141951,84110100.99669439
1700,23252680.794405844,2994139.160376219,11030526.978556044,88226265.10206708
1800,21195601.59103582,3185647.408986727,11074468.044658724,87858376.70730157
1900,20727510.274005607,2448939.831110495,11084062.992170626,91534831.00884041
2000,17768730.78253211,1864314.740085489,11108068.027955566,93459792.94106327
2100,15650312.94142014,2541245.466858946,11110706.79283743,96669260.60059798
2200,17849100.48482801,2181228.8708947785,11115892.35761929,96420481.15142767
2300,14607716.18859525,1473179.3059925959,11142104.991233049,98975744.72101305
2400,13650085.196682004,1497643.1326414554,11162789.00239188,102616189.33238745
2500,12878298.591721855,1590451.2654218539,11161223.846102456,101944984.3052951
2600,11347389.026547872,1375665.5495684538,11162660.386993054,103933798.97766571
2700,11688383.934510803,1367420.2343413886,11191880.9079407,106507744.05414547
2800,11745509.75561811,1361103.752552418,11174920.632396538,108005602.02202311
2900,9804674.960218392,845577.5672649776,11182863.268189527,106716967.93628551
3000,9037108.807019725,489197.8529315638,11160641.479048682,109046076.3177554
3100,10250665.315717075,1167753.6395303512,11183480.916357592,106359346.59455615
3200,7677235.7364713475,279845.7057822562,11141005.570393842,109567374.43995088
3300,5498245.435891249,460313.2259242595,11169904.222765913,109321324.57993826
3400,7231825.578182379,579263.2380683306,11130571.211411547,113133770.71428233
3500,4116315.429811527,500270.4040763188,11116456.908756323,110217148.40493447
3600,6519462.311632053,638971.1248814465,11118851.555661745,113462089.73676749
3700,5613147.647618009,597819.0662622586,11088386.379308166,112144804.50725451
3800,5664300.847433844,622053.7321172698,11084943.928776074,114385664.26974149
3900,3111055.0468123816,494773.9310428144,11050119.81395053,113934331.84180325
4000,5331090.593604361,637018.5962073244,11029369.931577735,114178954.28430161
4100,5818952.276640659,-139467.88886281446,11017135.333528947,115158915.13234207
4200,3942674.6118513723,-96914.50373524896,10998047.638579119,111183019.0412728
4300,4993005.559658812,263919.5920520954,10982704.547169557,114569143.6463022
4400,3028171.467272222,61821.527744054314,10967535.546353674,113906831.75558856
4500,2623904.33125322,-85957.47819189043,10925474.568394609,114584517.46000217
4600,1239835.2086598088,-175724.19018613477,10882944.596718602,114305091.77441956
4700,1792019.7005171317,-181348.9443829927,10875204.654581664,115535970.0028596
4800,3713087.8683505477,627009.9328140422,10821071.960658604,115713285.81566663
4900,2259141.4450309374,206167.94520677265,10813713.19495791,112788703.66223374
5000,4051212.1099661645,-245695.94265775126,10793066.84912163,115047878.73256208
