milliseconds,C_PCC,P_PSC,E_CD8,N_Killer,H_T_Helper,R_T_Regulatory
0,999510455.8808055,5506227.741796239,873281061.684965,481079587.02292275,2116511264.311601,158623145.26329258
100,1001589779.3557969,5719193.220942237,868925548.2989228,480626103.4170252,2115963436.0878952,158308794.33170727
200,1001293950.4326347,5657560.421731336,866653875.3865398,480520404.1463673,2114593311.0325646,158421314.68001497
300,1003932821.6208497,5863303.429743416,868824396.573138,479999304.0019471,2107867393.9894202,158037110.6527827
400,1004602418.3361197,5784113.825205976,864744213.8475478,479573922.9223537,2104112147.077285,157586472.34514025
500,1006818320.9104457,6005003.012441502,856906150.4825648,478468955.30592054,2100855799.5795054,157926205.24747992
600,1004994817.2540405,6007738.7289973805,858341929.9468716,478498181.90992033,2101672944.837435,157291017.90397972
700,1009308021.6513801,6064993.382310388,857299975.664304,478730193.56568575,2098365515.201959,157048894.8218027
800,1008291817.3620687,6044907.547469247,851411270.6349827,477640111.36094224,2094474014.9152906,157118553.85314193
900,1008451254.4571213,6233565.612309613,847735314.0803274,477117783.2612649,2095564647.9831417,156834000.6877902
1000,1010569657.2665838,6170494.582792408,849092426.2050015,476626545.617697,2088756188.4047918,156730632.6845242
1100,1012914854.0710254,6324126.6671130145,842476742.543909,476381440.0617458,2090423686.5989795,156145951.35270807
1200,1012184434.1365762,6418209.549538369,843550038.1025673,475537876.1185619,2084694954.886421,156121901.79322687
1300,1013737093.6838361,6394712.273458519,839539024.1329494,474390346.5941289,2084026044.4505844,155637539.22691864
1400,1016295057.3859075,6425655.891431815,839110011.6489047,474246300.5599259,2080496195.3323963,155585079.86719802
1500,1017262377.1851428,6546329.207123534,831081459.579366,474806463.54054075,2079983017.742523,155706142.83862445
1600,1018254640.2626916,6530424.335481362,827991248.2409691,472936900.6651791,2072703258.9794683,155152218.08297193
1700,1018689012.3229164,6696767.537157457,828272157.3577406,473177811.49355894,2073022080.7370949,154713965.44447201
1800,1019211159.011772,6721906.870324159,822360811.7438996,472721999.46315217,2067257240.8832,154576789.39339343
1900,1019271329.4256744,6765588.78558157,823300513.0637587,471632107.2408164,2071075275.6643214,154519969.76793364
2000,1020448778.8305444,6837724.8999841185,822572982.5851471,471134104.2389033,2067093344.275231,154525803.14059472
2100,1024576543.8690531,7016579.748986643,817305472.8845961,471217223.6172412,2063921965.2234688,154168793.3316897
2200,1023672153.0491273,7093889.105327841,815774560.1307247,470441570.5515013,2063137109.656307,154237578.59758392
2300,1024744161.5127335,7098621.322848555,809091969.5149419,469975684.1449914,2057151785.5301795,153485236.24996156
2400,1025053975.0593184,7219481.7242656015,809103207.5821303,470288553.1140804,2053053071.9180162,153729483.63100812
2500,1027349175.5094812,7319299.580894718,804850080.8868586,469787505.63445264,2054986383.2963684,153404156.18175885
2600,1027704030.4890789,7318493.303874447,802020690.1676955,468260224.71542907,2052692814.8259425,152787153.7876198
2700,1031577571.8814479,7356491.603823488,801005052.4749926,467743036.9280529,2049745899.8348386,152917574.33439833
2800,1030286037.1895666,7602251.470169631,797010086.6796926,468126016.93157905,2044688581.1057558,152574207.57751825
2900,1031100218.2844803,7468229.879197549,795774264.7098248,466793900.7298577,2040790152.3844707,152232692.33042026
3000,1033466138.6419473,7740273.5083330935,792862804.1990002,466630492.6849558,2042359189.4491556,152344257.88604143
3100,1036214533.7403975,7819942.262226831,793502239.6195403,466850253.9970094,2035398595.353846,151714967.59155837
3200,1036177570.022192,7869089.439838561,785541442.997117,465916560.1779854,2036061296.5371213,151529333.35513827
3300,1038383519.1679734,7938661.886657935,786634600.3944727,465762711.7421334,2036162392.813938,151636293.25893924
3400,1036694884.3450606,8064479.154826804,782362653.5832862,464143474.3993888,2032756595.7760632,151093268.75016302
3500,1040718296.8026378,7960386.232189697,780988118.6901671,463880536.9509147,2029017513.6647942,151038387.20299432
3600,1039326468.961614,8243664.502667306,777491914.3124325,463744213.1218344,2026317786.2587397,151085117.13781974
3700,1042932129.9136528,8332021.188526342,778333096.9128444,463177806.8999768,2021923729.95026,150778687.54772574
3800,1043103300.6110176,8323352.6216307515,773125601.7659191,462495101.01262933,2021142332.9055843,150792786.77702123
3900,1044042772.7571769,8336039.099177992,770929787.2208366,462400170.03846043,2016642933.0657654,150425982.19337684
4000,1045355413.77147,8495910.339866305,767707498.4655166,462060550.4502729,2017825617.4824488,150424571.48589772
4100,1047350992.9128579,8676181.359180762,769046954.3879095,460867792.1057365,2012904445.4601269,149778201.4569504
4200,1045875288.0195781,8639813.284535035,764533734.2322017,460499779.990046,2011169275.2664313,149458169.92290214
4300,1050221189.104354,8709762.014833301,759051535.7271098,460741380.0810144,2005940991.7733123,149638646.68152845
4400,1048864421.3509622,8746926.451555047,759555171.8321546,460232793.9670088,2006288683.0332806,149216267.70978636
4500,1052490254.0866507,8992861.717502635,757582226.6246877,458922520.5430318,2007308631.1412494,149303560.78114608
4600,1050779295.366124,8947038.03585809,754402198.4368029,459318689.2087313,2001864519.299037,148715060.660316
4700,1054447253.7241529,9029298.473538594,756774922.6110619,458530558.07079804,1996675960.7405734,148495427.63682088
4800,1054131019.2545836,9151242.092496343,747386329.4571474,457822984.60963047,1995053332.5830095,148289040.40246254
4900,1055835633.718214,9344337.648054011,746042475.4067445,458119842.6222937,1996531144.807171,148513972.1012779
5000,1057180465.293553,9366038.221754925,747997512.0835524,457197499.44595677,1991599814.951807,148020936.41356844
